text,id,retweet_count,reply_count,like_count,topic,reception
"#Nomore #vaccine #boosters new virus every 3 months but have #vaccine available for people who voluntarily want it.

Always protect yourselves with methods that work best for you.",1466131074614919174,0,0,0,,
I say let @GOPLeader @gop push their base to not get vaccinated or wear a mask. Time to cull the ignorant out of society.,1466131066486468618,0,0,0,,
"GOP lawmakers: so we’re gonna make you have that baby but we won’t give you any kind of support, and the kid might be killed by a gun at school but these thoughts & prayers should help, and yeah I’m vaccinated but the pandemic is definitely fake news like global warming & racism.",1466131065693782026,0,0,0,,
We must make Africa a center of excellence for vaccine manufacturing for the world and not just Africa - @daktari1 #JKLive https://t.co/DWtahC5yh3,1466131063659503624,0,0,0,,
"Americans need to stand up and fight this abuse of power. Getting the COVID shot does nothing for the person standing next to you!! You can still give someone COVID if you've had the shot, exactly the same if you haven't received the shot.   https://t.co/aJs2AM5iFT",1466131061121773570,0,0,0,,
UK expects to know Omicron vaccine impact in a week https://t.co/WzqBQKJRh4,1466131058278244355,0,0,0,,
I am BOOSTED 💉✨,1466131057464520708,0,0,6,,
"Situation Update, Dec 1, 2021 - Billions of Victims of Vaccine-Induced AIDS Will Soon Emerge to The Horror of Humanity! - Mike Adams Must Video | Health https://t.co/SKeollMuxK",1466131057456070657,0,0,0,,
"COVID Vaccination and Booster Shot Clinic
Tues., Wed., Fri.
9 AM – 3 PM
34 Benwood Ave., Buffalo
J&J and Pfizer
To schedule, please contact: Trinetta Alston, LPN, 716-986-9199, ext. 5907; talston@chcb.net or Samantha Swinton, MA, sswinton@chcb.net 
• Walk-Ins welcome. https://t.co/TClLZMeAUJ",1466131053706420225,0,0,0,,
"Listen to #PrinceHarry and Winnie Byanyima discuss AIDS and vaccine equity.

https://t.co/iqnAcM93KE",1466131051168731137,0,0,0,,
Out of the of interest… people’s opinion on mandatory vaccination?,1466131048601993226,0,0,0,,
Another medical emergency in the crowd at a football match 💉💉💉💉🤔🤔🤔🤔,1466131047540830219,0,0,0,,
"ik its normal for viruses to mutate and change throughout time, but how long we’ve just let covid-19 mutate unhinged and mutate so much we need a new vaccine ALREADY",1466131046500610063,0,0,0,,
And I’m gonna say it since the jab they forcing people to have this is happening way too much all over!!,1466131046408331271,0,0,0,,
"This news will trigger the anti vax brigade.
They'll all be acting big and tough before rolling up their sleeves 🤣BBC News - Covid Omicron: Time to consider mandatory jabs, EU chief says
https://t.co/MSYr5GXdp3",1466131045296787458,0,0,0,,
Perspective | Natural immunity to covid is powerful. Policymakers seem afraid to say so. https://t.co/SRdalNFDD4,1466131043161985027,0,0,0,,
How long before we have to listen to some anti vax nonsense then?,1466131042658574340,0,0,0,,
"Technical service employees will get a “five-workday period of education, including providing noncompliant employees with information regarding the benefits of vaccination.""

The re-education camps are coming! Hooray!

https://t.co/wqRGKzutNO",1466131042419548169,0,0,1,,
Another vaccine collapse. #WATCHE,1466131037726068738,0,0,0,,
This vaccine got people collapsing every where,1466131037143113742,0,0,0,,
kyrie might be right abt the vaccine..cuz wtf is this,1466131035758989337,1,0,2,,
"Paxlovid (Pfizer pill) found to work against the variants in vitro.

Main protease mutants of SARS-CoV-2 variants remain susceptible to PF-07321332   https://t.co/PS72FgTVHO

PAXLOVID previously found to reduce the risk of hospitalization or death by 89% https://t.co/FMWU6Xy86G https://t.co/oN0xvI2VBI",1466131032105570305,0,0,0,,
"Are these widgets new? They look new. 
Does Fox News consult with epidemiologists, & not just radiologist Scott Atlas? This tacit promotion to the public, and that is what this is, took almost twelve months of vaccine availability. #OmicronVariant https://t.co/psVvYj1uAp",1466131024958660633,0,0,0,,
The Vaccine Project Newsletter: Can we take another gut punch? https://t.co/lQfxodRuUh,1466131017610280961,0,0,0,,
Business News Business Article Business Journal Vaccinating the realm for covid-19 would worth 0.5% of G20 spending on the disaster https://t.co/SQFsdANpnB,1466131017450852360,0,0,0,,
Didn't expect that 🤯 @thevaccines @Spotify #spotifywrapped2021 #vaccine https://t.co/5DOcS4v2Qm,1466131013164310533,0,0,0,,
US Confirms Nation's First Case of Omicron Covid Variant in Fully Vaccinated Individual in California https://t.co/poLxBAKLf6 via @gatewaypundit,1466131012258258954,0,0,0,,
Vaccinated traveller first case of Omicron in US: https://t.co/PUA2yAaIiz https://t.co/AGzjLt7Gk6,1466131012086337536,0,0,0,,
Yet another fan falls ill in the crowd with play being stopped…and people really think this vaccine is not the cause! #Covid19UK,1466131010630864896,0,0,0,,
"Dr. Donahue: In Nebraska, unvaccinated 30-year-olds are being hospitalized with COVID-19 at similar rates to fully vaccinated people older than 80",1466131010542878728,0,0,0,,
Defense Sec. Orders National Guard Members To Get Vaccinated Or Lose Pay https://t.co/vN4XpsBY55,1466131004737925124,0,0,0,,
Defense Secretary Lloyd Austin is ordering the National Guard to get vaccinated - or face a loss of pay. https://t.co/9jSDq6pDZu,1466131004091944965,0,0,0,,
"o also, ya boy just got their vaccine booster today with the boyfwend :)",1466131003928371212,0,0,0,,
Which means a new vaccine needs to be in the works asap,1466130994684207109,0,0,0,,
Vaccine conspiracy theory crew will be out on in force in a minute,1466130993383890956,0,0,1,,
We're all stoked up on #fillers! Have you made your appointment yet? Spots are filling up fast -- emailed us at info@txfaces.com or call us 469-362-6975 to schedule an appointment 💉 https://t.co/6IJGRugt5t,1466130990238216205,0,0,0,,
"How many footballers have collapsed in training this season? Why are so many fans collapsing in the crowd? 

Hmm 💉",1466130988669489154,0,0,1,,
I’ve had my vaccine but these random collapses and other shit people are having so frequently Is concerning,1466130987000160258,0,0,0,,
"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight

Televangelist Marcus Lamb, president and founder of Daystar Television Network, died at age 64.

By 
Josephine Harvey
12/01/2021 01:00am EST
https://t.co/WRXmiYANtn",1466130980767416320,0,0,0,,
"How is it that of us who are NOT sick who are healthy are the problem?  If there are therapeutic that work, why does anyone need a vaccine?  Fauci, why is there not a vaccine for AIDS? Why is there not a Vaccine for Phnominia? Cancer?$$$$$ It's all BS",1466130977915289607,0,0,0,,
Another heart attack in the stands 💉,1466130977508503557,0,0,0,,
Dealing with trying to get a booster shoot for Covid,1466130972340994050,0,0,0,,
Individual was fully vaccinated.,1466130972097789956,0,0,0,,
"The Vaccine Moment, part one https://t.co/tKzKvbV1oi",1466130969073696774,0,0,0,,
"the amount of idiots that don't understand that #vaccinated doesn't mean immune. it means you're less likely to die if you catch said illness. 

it's really not that hard to understand 🤡

#covidvariant 
#Omnicron 
#COVID19",1466130968574451718,0,1,1,,
"Breakthrough Infections are VERY COMMON 3 Months Post Vax when Circulating Antibodies are Fading and Immune Memory Re-activation becomes Key

Stealth Circulation Among the Vaccinated is NOT Driven by the New Variant.  

It is a Problem with ALL Variants known to date.",1466130955953917952,0,0,0,,
Another medical emergency in a football ground. Vicarage rd.. just another coincidence. #Vaxxed 🤔,1466130951973621767,0,0,0,,
#News: Final day for unvaccinated cops to take jab or lose job https://t.co/v5taIfiv6D #svgnewsbot https://t.co/KADfqNMomS,1466130941122949120,0,0,0,,
"A fit and active 26 yo man dies unexpectedly 12 days after covid19 vaccine.  He is one of 30,000 deaths in the EU.  Over 19,000 dead in USA.

This is an abomination: halt these experimental vaccine now. Shame on big Pharma and Gov for letting this happen!

https://t.co/OvlDruNfZp",1466130938920939531,0,0,0,,
Republicans threaten to shut down government over vaccine mandates - Because it went so well the last time they shut down the govt  https://t.co/uVnc8IkC0i,1466130936194609154,0,0,0,,
‘I will support those who choose not to be vaccinated’ - BBC News https://t.co/0AFdpbkBzQ,1466130934579691521,0,0,0,,
"cannot rate to spotify users (but i will take that little jab to listen to kara's and after school's full japanese discog and BULLDOK)
NOW anyways for the one and a half month i've been using this account https://t.co/BgBOIkF7oN",1466130932495273989,0,0,0,,
"With emergence of the Omicron, Canada must finally waive COVID-19 vaccine patents: Singh https://t.co/zvjLWg9UVV",1466130930934951947,0,0,0,,
A group of Republicans could briefly shut down the government over vaccine mandates - BuzzFeed News https://t.co/AeiXzbYwHa,1466130930905452545,0,0,0,,
"Covid booster and flu jab done! #ThankYouNHS 💕💉

Celebrated my vaccination & it being December 1st in style, with a brandy mince pie gelato from @marysmilkbar https://t.co/3M6eOf0V9c",1466130927642460161,0,0,0,,
"“The patient, a traveler who returned to California from South Africa on Nov. 22, is in isolation and aggressive contact tracing is underway. The individual was fully vaccinated and had mild symptoms that are improving.”The First Omicron Case- The NYT https://t.co/edoWljAdse",1466130927612948480,0,0,0,,
"German startup @Wingcopter is working to provide #drones for #vaccine delivery in remote areas

That’s why #LastMileAir delivery by #drone is so important

V/@LastMileAir #SupplyChain @PawlowskiMario @JeroenBartelse @MargaretSiegien @patrickmascart @rwang0 https://t.co/GDit7E8FYW",1466130925172011014,0,0,0,,
"Hi! In case you didn't know, today the US surpassed 70% of adults with a COVID-19 vaccine! I think that's pretty dang cool! https://t.co/fPl3JMwbpu",1466130923934691343,0,0,0,,
"First case of Omicron in CA and Newsom says get vaccinated.
But weren't the first to have it vaccinated? 😕 
https://t.co/92lbpKy3kS",1466130923376701441,0,0,0,,
"Moderna drops, Arbutus pops after patent ruling means vaccine maker could owe royalties on billions in COVID shot revenue https://t.co/CWngWDy8lS",1466130922412118021,0,0,0,,
I believe Dr von der Leyen is correct; Mandatory Vaccination is rapidly looking like the *only* way out of this.,1466130916565209098,0,0,0,,
The next challenge to vaccinating Africa: Overcoming skepticism https://t.co/LmYFycJl67,1466130915751456774,0,0,0,,
Vaccinated Athletes are dropping like flies.,1466130915306971138,0,0,0,,
"Shaquanna from Matheson,CO, dont be dumb. get vaccinated (roll #305 /comment tier: basic)",1466130913981607944,0,0,0,,
POLITICO Playbook: Scoop: Conservatives plot government shutdown over vaccine mandate - POLITICO - Politico https://t.co/Xh3nUtvrct via @GoogleNews,1466130910231863296,0,0,0,,
"Marcus Lamb, founder of Christian network Daystar and vaccine opponent, dies after contracting COVID-19 https://t.co/IG3UPg8pHL 
____________ 

Smh... Saddened and completely shocked to hear of Elder Bro. Lamb's recent passing.

May people strongly consider getting vaccinated...",1466130904301150214,0,0,1,,
Final day for unvaccinated cops to take jab or lose job https://t.co/aektF8Oxam,1466130903856472065,0,0,0,,
"This is the third time in the past few weeks that the president’s call for mandatory vaccines were halted.

 https://t.co/Fd19w1NVaH",1466130902157860864,0,0,0,,
Final day for unvaccinated cops to take jab or lose job https://t.co/0Pq8pNlbv8,1466130900698251272,0,0,0,,
"“His Facebook page includes posts and memes downplaying the severity of the coronavirus, comparing vaccine passports to Nazi Germany and blasting Gov. Gretchen Whitmer’s efforts to mitigate the spread of the virus.”  https://t.co/lXWe1m3eAU",1466130894096240642,0,0,0,,
"Planning a trip to Canada? Keep up to date on the latest border measures, including vaccination requirements and additional measures in response to address the COVID-19 Omicron variant of concern: https://t.co/yhO02JxY5f",1466130890778677250,0,0,0,,
If there is anything that should truly scare you it is Jim Cramer going full vaccine authoritarian.  That guy is constantly wrong at big turning points. Ask anyone that follows public stock markets since the late 90’s @DowdEdward,1466130889075830791,0,0,0,,
"Federal Contractor and Subcontractor Vaccine Mandate Temporarily Enjoined in Kentucky, Ohio, and Tennessee https://t.co/Z9bcu2laR8 | by @littler",1466130886617825286,0,0,0,,
"Warning! Pun coming…

When it comes to music I am pretty old school. However, since today I am moderna #Vacation #BoosterShot",1466130882578817041,0,0,1,,
Funny how all these geezers having heart attacks since this vaccine been rolled out.,1466130879349198853,0,0,0,,
"Can't help but think that the SAGE psychologists, the nudge unit and No.10 have got the strategy very wrong this last week.

Many previously supportive of vax campaign holding off on 3rd jab given the re-working for Omicron.

terrible policy own goal.",1466130875427524611,0,0,0,,
"You're a 26 year-old plumber, and need the vaccine to comply with health & safety regs in New Zealand, then this happens..... https://t.co/ftWhPMUVc4",1466130873909133314,1,2,4,,
‘Deadly Christmas’ in Aboriginal towns https://t.co/otkHHaN9Jo https://t.co/wVpGPae0RL,1466130871912583168,0,0,0,,
"Hey @ChristinaPushaw, heard of anyone getting vax exemptions from @RoyalCaribbean cruise mandates lately? Wondering if things will be back to normal by July, but betting not",1466130870377529347,0,0,0,,
The earliest I could schedule my covid booster was December 15th… 😓😬🥴,1466130868183998470,0,0,0,,
Republicans Threaten Government Shutdown Over Vaccine Mandates https://t.co/YfS9rL6AlH,1466130863435960338,0,0,0,,
They dropped that new Covid variant ! Get your booster shots,1466130862819491845,0,0,0,,
CNBC host suggests nationwide vaccine mandate: 'Have the military run it' | TheHill - The Hill https://t.co/TxkRE2TF2M via @GoogleNews,1466130858750971904,0,0,0,,
People have been getting sick at soccer matches lately if it's not players then it's supporters #WatChe since this whole vaccine thing started,1466130858683871240,1,1,1,,
"How about you read this and report on it.  First tranche of documents released re testing Pfizer.  Pfizer tried to get court ruling to suppress. 1223 killed by the vax in first month!  

https://t.co/3w2MYQNOkh

@Iromg @juliahb1 @GBNEWS @thecoastguy @TVKev https://t.co/u2YnLFfna2",1466130856511250432,0,0,0,,
"Mandatory vaccination is wrong. You should not force people by law to do something that carries side effect risks, however small those risks might be. People should always decide for themselves what risks they do and don’t take. (DOI: double vaccinated)",1466130855714332679,0,0,0,,
"Pfizer CEO Albert Bourla talks about the ""gene editing"" potential of mRNA vaccine technology.

“They are trying to use the same technology to be able to change or repair the mistake of your DNA, so that you can cure those people.""

Gene editing, you say? 
Change or repair DNA 🧬? https://t.co/ZzipXBiM5q",1466130851041841161,0,0,0,,
A person in California who had been vaccinated against COVID-19 became the first in the U.S. to have an identified case of the omicron variant: https://t.co/1rgJWgUtTW https://t.co/bDbEgf4prj,1466130843781455892,1,1,0,,
"Hey y'all, we're skipping stream tonight on account of vaccine wooziness and lots of work.",1466130843106263040,0,0,0,,
"Marcus Lamb is the newest member of the antivax broadcaster COVID cemetery...

https://t.co/kE7rLOQZd7",1466130840312762369,0,0,0,,
Gotta get this fuckin vaccine,1466130838823870464,0,0,0,,
Another medical emergency in the stands at Watford v Chelsea. The vaccinated dropping like fucking flies these days. #WatChe,1466130835170541579,0,3,2,,
A federal court in Missouri refused to lift a block on the Biden administration’s vaccine mandate for health-care workers in 10 states while an appeal moves forward// via @alliereed https://t.co/NAiFOumnQZ,1466130832175910914,0,0,0,,
An HIV vaccine has eluded scientists for decades. The traditional thinking around vaccines is to mimic the body’s natural immune response to a virus. The problem with HIV is the body’s natural immune response isn’t strong enough to fight the virus.,1466130827746717704,0,1,0,,
"Top health experts have said for days this moment would come.

The facts remain the facts: there is a lot science doesn't understand yet about Omicron. Scientists are working urgently to get answers.

Meanwhile, don't panic. Get vaccinated. Get a booster. Wear a mask. Be careful.",1466130827071393799,1,0,2,,
"#MOHAP reiterates the importance of taking the #COVID vaccination, including the booster shot. 

#UAE_BARQ_EN https://t.co/5MauhQdaTT",1466130821425905667,2,0,1,,
Such a shame. I am saddened by this. Covid is real and the Vax is an answer to prayer my friends.  https://t.co/GlS5sUk37m,1466130817415933953,0,0,0,,
It’s beginning to look a lot like Christmas 🎶🎄🎅  Mrs D’s S2 Textile classes. Cushion covers…..work in progress 😍🧵💉  #beyourbest #Christmas2021 #lifeskills #creativity  @Greenwood_Acad https://t.co/uz9Xs8cPvJ,1466130816120066066,0,0,0,,
Conservative Senate Republicans reportedly plan to force a government shutdown over vaccine rules - Yahoo News https://t.co/M0K0WGYKl5 via @GoogleNews,1466130812659716100,0,0,0,,
My covid immunization record in Apple health still has not updated for the booster I received yesterday. The clinic told me it usually take a few hours.,1466130810159783937,0,0,0,,
Just got my COVID booster 💪,1466130803419758599,0,0,0,,
During Junior High health class everyone paid attention during the sexuality and reproductive health part but slept through vaccination and dental hygiene part.,1466130802257711104,0,0,0,,
"Omicron: First US case found in person who was vaccinated but had not had booster, says Fauci https://t.co/rMSdYGv7MD",1466130801825914881,0,0,0,,
"Let me clear up some things about the #covid #mandates. The #NurembergCode doesn't apply, because they aren't forcing you to be the subject of a medical experiment. The vaccine has been tested and approved thanks to volunteers. #Masks are also pretty far from #experimental.",1466130797560172546,0,1,1,,
"#Breaking: The omicron coronavirus variant is now in America, the @CDCgov confirmed. @GovLarryHogan urged Marylanders to get vaccinated and tested to protect themselves.

https://t.co/tMolSzFJXW",1466130796985655300,0,0,0,,
Serum Institute seeks Covishield’s booster dose approval from DCGI | In Hindi. https://t.co/dn5IAXyrnx,1466130796947857420,0,0,0,,
"Thinking about selling your home? Get your seller guide today and learn about the process of home selling!

Thanks
Jon Janssen
(586) 453-4457
jonjanssen67@gmail.com https://t.co/Iy4P3krtzp https://t.co/72hmfQ0cfB",1466130796209704961,0,0,0,,
Officially one of the weak bitches 🥲 had to get the first dose of my COVID vaccine today.,1466130790924886025,0,0,0,,
did anyone have any side effects to the covid booster? I just don’t wanna feel sick the day after like I did with the second shot 😭,1466130789989498887,0,0,0,,
"#WHO is worried because the 5th kind of covid19 aka #Omicron is damn resistant to vaccines! #WHO is not preoccupied 2find a #cure! It's only worried 4vaccine. So, nobody wishes 2find a #cure2corona, everybody wants 2sell its fucking #vaccine!",1466130786353045513,0,0,0,,
The CDC has identified the first case of the omicron #COVID19 variant in the U.S.A in an individual in California who was fully vaccinated and had mild improving symptoms.,1466130783643611140,0,0,0,,
Got boosted 💉,1466130776475332611,0,0,0,,
another collapse in the crowd at chelsea watford 💉,1466130776341323776,1,0,1,,
"That's the least worry in CA!
""CA’s large-scale testing & early detection systems have found Omicron COVID variant in CA. We assume
it’s in other states.
There’s no reason to panic–but we should remain vigilant. Get💉. Get💉. Wear a😷indoors"" @GavinNewsom 
https://t.co/yoSqOOuNtL",1466130774126731268,0,0,0,,
"Mandatory jab or fines & prison in Austria 😱
https://t.co/ACi2xlGWj1",1466130771685654529,0,0,0,,
General Hospital fires star Steve Burton over COVID-19 vaccination refusal https://t.co/H3yHIOknPX,1466130770876117009,0,0,0,,
"As of: Wed Dec 1 12:34:35 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",1466130769915654149,0,0,0,,
I don’t know if I got this bad cough from my son or this vaccine😤😤,1466130769890398211,0,0,0,,
Off for my Boster jab #ASAP 👇 https://t.co/Y4NwUAgeX4,1466130768464420864,0,0,0,,
"“For parents worried that their kids will be excluded from school if they don’t choose to get them vaccinated, the Charter of Rights and Freedoms is likely to offer some protection.”

https://t.co/k4mj3eoZA7",1466130765834600449,0,0,0,,
Shutdown odds grow as conservatives push GOP leaders over vaccine and testing mandates - The Washington Post https://t.co/469agytSsT via @GoogleNews,1466130759698235400,0,0,0,,
Another fan heart attack in the stands? 💉weekly occurrence these days?,1466130755445268494,0,0,0,,
"It was a disturbing experience for her mother and 4 y-o daughter who came to support Nolan as he got his shot. 
#antivaxxers ""told me I was murdering my son, I was committing genocide, stuff like that. And misinformation about the vaccine itself,"" she said https://t.co/M1NzrWRSwv",1466130755424247809,0,0,0,,
What is the Trusted News Initiative? https://t.co/IZt8FPBweb #LBRY via @OdyseeTeam,1466130749405503490,0,0,0,,
"Good. Society: wake up and push back. 

https://t.co/zfReUDJMye",1466130749246132231,0,0,0,,
"In an email, Chancellor Ronnie Green said the emergence of new and potentially more transmissible COVID variants led to the change in UNL's approach for the coming semester. https://t.co/EJPcLxqFOc",1466130747635519496,0,0,0,,
"In an email, Chancellor Ronnie Green said the emergence of new and potentially more transmissible COVID variants led to the change in UNL's approach for the coming semester. https://t.co/RSiMhonunT",1466130746201055243,0,0,0,,
The unvacvinated has no symtoms of the Omicron? https://t.co/nXJ4JAK206,1466130743248273411,1,1,1,,
"Prince Harry compares Covid vaccine inequity to HIV struggle - The Duke of Sussex has warned of “corporate greed and political failure” prolonging the Covid pandemic, comparing a “spectacular failu... - https://t.co/pw2bvRk65J https://t.co/g1GWG7UVjc",1466130740492779522,0,0,0,,
"I never hear a word about therapeutics~

I do hear however we need more and more VAX.🤔

If it doesn't succeed the first time -add more~
 Is the new mantra ..

The U.K is up to 4 now",1466130738361901066,2,0,2,,
Vaccine Mandate For Federal Contractors Goes Down! (Temporarily. And In Three States.) https://t.co/yl92oSpqmh | by @ConstangyLaw,1466130737594208258,0,0,0,,
When Elvis Helped to Conquer Polio https://t.co/nWVfL0rNVK via @politico,1466130734687698944,0,0,0,,
"“Get Booster Shots as Soon as You Can, Health Experts Say, as Omicron’s Spread Collides with the Relentless Delta Variant” - via @CNN - https://t.co/DqwfNGQikJ
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",1466130732242411522,0,0,0,,
"A person in California who had been vaccinated against COVID-19 became the first in the U.S. to have an identified case of the omicron variant, the White House announced Wednesday.
 https://t.co/yi98oy07vU",1466130731454070784,0,0,0,,
Is the media just going to ignore the fact that LeBron James was fully vaccinated and caught COVID?,1466130728085770252,20,3,46,,
House Freedom Caucus Demands McConnell Block Spending Resolution to Defund Vaccine Mandates https://t.co/qhBhuhBj1q,1466130726135508992,0,0,0,,
"Flu jab yesterday, covid booster today - now fully #vaccinated",1466130725913214980,0,0,0,,
.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can’t vaccinate the 🌍 unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/vdPRW0kQwg,1466130722507264003,0,0,0,,
Pfizer whistleblower accused of lying fearlessly fires back https://t.co/dvmCmQ4MKT,1466130720611450882,0,0,0,,
"BREAKING: Person who is first US case of omicron variant has been fully vaccinated, is self-isolating",1466130718841573380,0,0,0,,
